id,category,failure,trigger,detection,impact,prevention,recovery,retry_policy,metric_alert,test_fixture,status,owner_module
D001,data,HTTP 429 from Jupiter,request rate exceeds the keyless budget,SourceFetchError kind=rate_limited on status 429,discovery stalls and the age window is missed,RateLimiter enforces a local token budget below the published limit,backoff and resume on the next cycle,exponential backoff base 500ms cap 30s,counter source_fetch_error{kind=rate_limited},none,implemented,packages/adapters/src/ratelimit.ts
D002,data,quota misaccounting across concurrent callers,two call sites share one limiter without coordination,limiter refuses with RateLimitRefused before the wire,silent over-consumption then a 429 storm,single RateLimiter instance is constructed per process and injected,refusal is returned to the caller as a provider failure not a token fact,no retry inside the limiter,counter ratelimit_refused,none,implemented,packages/adapters/src/ratelimit.ts
D003,data,API auth expiry,key rotated or revoked upstream,401/403 mapped to SourceFetchError kind=auth,every enrichment fails and the pipeline screens nothing,keys are optional by design; the keyless path is the supported path,fail closed - no screening decision is recorded from a failed fetch,no retry on auth failures,alert on sustained kind=auth,none,partial,packages/adapters/src/http.ts
D004,data,schema field added upstream,provider ships a new response field,zod passthrough accepts unknown keys without failing,none if tolerated; a hard parse would halt discovery,schemas are permissive on addition and strict on the fields actually read,continue,n/a,none,none,implemented,packages/adapters/src/jupiter/schemas.ts
D005,data,schema field removed upstream,provider drops a field a gate reads,zod parse failure or a null where a number was required,gates that read the field degrade to soft risk or veto on absence,every optional field is typed nullable and every gate handles null explicitly,absence is graded as risk not asserted as a bad token,no retry,counter parse_failure by endpoint,none,implemented,packages/adapters/src/jupiter/schemas.ts
D006,data,schema field type change,a number becomes a string upstream,zod type error at parse,decisions would be made on a coerced value,zod parses rather than casts; no implicit coercion is configured,fail closed on the record,no retry,counter parse_failure,none,implemented,packages/adapters/src/jupiter/schemas.ts
D007,data,indexer lag,provider aggregates behind the chain,source age measured from the response timestamp,a decision is made on a world that no longer exists,data_freshness veto rejects any snapshot older than maxSourceAgeMs,candidate is skipped this cycle and re-screened later,retried on the next cycle only,histogram source_age_ms,tests/replay/determinism.test.ts,implemented,packages/intelligence/src/gates.ts
D008,data,stale cache served by the provider,upstream CDN or memoisation,same payloadHash returned across cycles,repeated screening of an unchanged snapshot,payloadHash is recorded on every fetch,duplicate snapshots are still stored; replay makes the repetition visible,n/a,payload hash repeat rate,none,partial,packages/adapters/src/http.ts
D009,data,missing slots,RPC skipped or pruned a slot,slot gap between successive getSlot reads,age and freshness math drifts,decisions do not depend on slot continuity in observe/paper,n/a,n/a,none,none,designed_not_implemented,packages/solana/src/rpc.ts
D010,data,duplicate discovery events,the same mint appears in successive recent feeds,candidate insert is idempotent on mint,double-banking would inflate the candidate count,INSERT OR IGNORE on the candidates primary key plus an in-process seen set,none needed,n/a,gauge candidates,tests/e2e/observe-cycle.test.ts,implemented,packages/storage/src/repo.ts
D011,data,chain fork or rollback,a confirmed slot is reorged away,commitment level and confirmation re-query,a fill believed final is undone,confirmations are read at the confirmed commitment and re-resolved on restart,resolveOutstanding re-reads the chain rather than trusting local state,unresolved attempts are re-queried each pass,counter attempts_unresolved,tests/chaos/recovery.test.ts,partial,packages/execution/src/machine.ts
D012,data,WSS disconnect,socket dropped by the provider,n/a,n/a,the architecture is polling-only; no websocket is opened anywhere in the tree,n/a,n/a,none,none,not_applicable_current_architecture,packages/adapters/src/http.ts
D013,data,silent half-open WSS connection,TCP alive but no frames delivered,n/a,n/a,no websocket exists; a future WSS adapter must carry its own liveness deadline,n/a,n/a,none,none,not_applicable_current_architecture,packages/adapters/src/http.ts
D014,data,incorrect commitment level,reading processed where confirmed is required,commitment is a required argument with no default at the RPC boundary,acting on state that may not survive,commitment is passed explicitly at every call site,n/a,n/a,none,none,implemented,packages/solana/src/rpc.ts
D015,data,system clock skew,NTP drift or a suspended host,not detected,every age and freshness gate is computed against a wrong now,intended: refuse to trade beyond a conservative skew threshold,n/a,n/a,none,none,designed_not_implemented,scripts/doctor.ts
D016,data,source timestamp confusion,provider mixes local and UTC or seconds and milliseconds,parseUtc returns null on anything it cannot read as ISO UTC,age is computed from a wrong epoch and the age window becomes meaningless,all timestamps are stored as UTC milliseconds in a single named column convention,null age fails min_token_age closed rather than passing,n/a,none,tests/replay/determinism.test.ts,implemented,packages/intelligence/src/gates.ts
D017,data,null or missing price,provider has not priced the token,usdPrice typed number|null and read as null,scoring terms that need price are undefined,every price read is null-guarded; absence contributes soft risk,decision proceeds without the term rather than inventing one,n/a,none,none,implemented,packages/intelligence/src/gates.ts
D018,data,wrong decimals,provider reports decimals inconsistent with the mint,decodeMint reads decimals from the mint account itself,every raw-amount conversion is wrong by a power of ten,on-chain decode is authoritative over provider metadata where both exist,fail closed on decode error,n/a,none,tests/unit/mint-decode.test.ts,partial,packages/solana/src/mint.ts
D019,data,symbol collision,two mints share a ticker,mint address is the only identity used as a key anywhere,the wrong token is traded,symbols are stored for display only and never used as a lookup key,n/a,n/a,none,none,implemented,packages/storage/src/repo.ts
D020,data,API returns HTML or an error page as JSON,upstream proxy or WAF interposes,content-type check plus zod parse failure,a parse of garbage would produce a phantom token,response is parsed through a schema before any field is read,SourceFetchError is raised and no snapshot is recorded,no retry within the cycle,counter parse_failure,none,implemented,packages/adapters/src/http.ts
D021,data,retry storm after rate limiting,naive immediate retry across many callers,limiter refusal counter climbs,self-inflicted denial of service and a longer ban,exponential backoff with a 30s cap and jitter-free deterministic schedule,cycle ends early rather than retrying tightly,capped at the configured attempt ceiling,counter ratelimit_refused,none,implemented,packages/adapters/src/ratelimit.ts
D022,data,DNS failure,resolver outage or VPN change,fetch throws a network error mapped to SourceFetchError kind=network,total discovery outage,fail closed - no decision is recorded without data,resume on the next cycle,backoff,counter source_fetch_error{kind=network},none,implemented,packages/adapters/src/http.ts
D023,data,VPN or proxy interposition,split tunnel changes the egress path,latency histogram shift and TLS errors,requests silently route through an untrusted middlebox,intended: doctor records the egress IP and warns on change,n/a,n/a,none,none,designed_not_implemented,scripts/doctor.ts
D024,data,conflicting state between two providers,Jupiter and a second source disagree on liquidity,not detected - only one provider is wired,a single provider is trusted without corroboration,intended: DexScreener and Helius adapters as an independent read,n/a,n/a,none,none,designed_not_implemented,packages/adapters/src
D025,data,provider silently truncates a list,page size cap applied without a cursor,response length equals the cap exactly,part of the universe is invisible and selection is biased,record the returned count on every fetch,n/a,n/a,histogram discovery_batch_size,none,partial,packages/adapters/src/jupiter/client.ts
D026,data,latency spike masks a stale decision,provider slow under load,latencyMs recorded on every fetch and carried into the snapshot,a quote is acted on after it stopped being executable,order freshness deadline is checked at signing time not at quote time,intent expires and is not signed,n/a,histogram fetch_latency_ms,tests/unit/signer.test.ts,implemented,packages/execution/src/signer.ts
